County,year,month,Active.Ingredient.new,total,ym
APACHE,2011,1,METHOMYL,0.43,1/1/2011
APACHE,2012,6,LAMBDA-CYHALOTHRIN,0.470625,6/1/2012
APACHE,2014,7,BIFENTHRIN,1.1625,7/1/2014
APACHE,2014,9,CYFLUTHRIN,0.175,9/1/2014
APACHE,2014,11,PERMETHRIN,0.786875,11/1/2014
APACHE,2015,1,LAMBDA-CYHALOTHRIN,0.115625,1/1/2015
APACHE,2015,2,BETA-CYFLUTHRIN,0.4186875,2/1/2015
APACHE,2015,2,DIMETHOATE,3.79,2/1/2015
APACHE,2015,2,LAMBDA-CYHALOTHRIN,0.24,2/1/2015
APACHE,2015,10,BENSULIDE,25.0368,10/1/2015
APACHE,2015,10,LAMBDA-CYHALOTHRIN,0.24,10/1/2015
APACHE,2015,11,BETA-CYFLUTHRIN,0.125,11/1/2015
APACHE,2015,11,LAMBDA-CYHALOTHRIN,0.58,11/1/2015
APACHE,2015,11,MALATHION,1.176,11/1/2015
APACHE,2015,11,PERMETHRIN,0.428125,11/1/2015
APACHE,2016,3,CHLORPYRIFOS,6,3/1/2016
APACHE,2016,3,ZETA-CYPERMETHRIN,17.55,3/1/2016
APACHE,2016,6,ACEPHATE,16,6/1/2016
APACHE,2016,6,BIFENTHRIN,6.86,6/1/2016
APACHE,2016,6,CHLORPYRIFOS,60.75,6/1/2016
APACHE,2016,6,LAMBDA-CYHALOTHRIN,1.87,6/1/2016
APACHE,2016,9,PYRETHRINS,1.065,9/1/2016
APACHE,2016,10,PERMETHRIN,1.44,10/1/2016
APACHE,2016,11,ESFENVALERATE,0.5625,11/1/2016
APACHE,2016,11,PERMETHRIN,0.575375,11/1/2016
COCHISE,2006,3,CHLORPYRIFOS,2.1632,3/1/2006
COCHISE,2006,4,CHLORPYRIFOS,1.485714048,4/1/2006
COCHISE,2006,6,CHLORPYRIFOS,2.08,6/1/2006
COCHISE,2006,7,CHLORPYRIFOS,12.48,7/1/2006
COCHISE,2006,8,CHLORPYRIFOS,6.17941376,8/1/2006
COCHISE,2006,9,CHLORPYRIFOS,3.91032512,9/1/2006
COCHISE,2007,3,CHLORPYRIFOS,8.0602496,3/1/2007
COCHISE,2007,4,CHLORPYRIFOS,13.52,4/1/2007
COCHISE,2007,6,CHLORPYRIFOS,21.57852736,6/1/2007
