County,year,total
APACHE,2011,0.43
APACHE,2012,0.470625
APACHE,2014,2.124375
APACHE,2015,32.1502375
APACHE,2016,112.672875
COCHISE,2006,28.29865293
COCHISE,2007,103.453689
COCHISE,2008,54.61898
COCHISE,2009,77.5502
COCHISE,2010,115.26021
COCHISE,2011,551.903725
COCHISE,2012,846.013975
COCHISE,2013,721.719212
COCHISE,2014,735.27895
COCHISE,2015,225.316957
COCHISE,2016,275.837463
GILA,2013,0.403125
GILA,2014,14.05
GILA,2015,1.55
GILA,2016,6.9728
GRAHAM,2006,21.09112512
GRAHAM,2008,3.7011
GRAHAM,2009,0.6864
GRAHAM,2010,16.6192
GRAHAM,2011,41.89125
GRAHAM,2012,32.49
GRAHAM,2013,243.067025
GRAHAM,2014,37.89015
GRAHAM,2015,97.8064
GRAHAM,2016,67.121525
GREENLEE,2014,1.4
GREENLEE,2015,0.625
LA PAZ,2000,0.96
LA PAZ,2006,243.576439
LA PAZ,2007,137.9113124
LA PAZ,2008,90.53535922
LA PAZ,2009,39.45071
LA PAZ,2010,65.03731
LA PAZ,2011,1631.324113
LA PAZ,2012,14987.80149
LA PAZ,2013,493.3432688
LA PAZ,2014,6031.777377
LA PAZ,2015,6197.249625
LA PAZ,2016,3513.7515
MARICOPA,1992,11401.09025
MARICOPA,1993,11496.67976
MARICOPA,1994,14289.69025
MARICOPA,1995,15666.32114
MARICOPA,1996,10767.14609
MARICOPA,1997,10468.9606
MARICOPA,1998,6680.5161
MARICOPA,1999,5698.0289
MARICOPA,2000,4502.565748
MARICOPA,2001,3833.47286
MARICOPA,2002,3071.003415
MARICOPA,2003,1989.674343
MARICOPA,2004,1623.969315
MARICOPA,2005,1824.44647
MARICOPA,2006,982.3278172
MARICOPA,2007,822.2606025
MARICOPA,2008,735.72657
MARICOPA,2009,501.09025
MARICOPA,2010,526.885585
MARICOPA,2011,822.1636798
MARICOPA,2012,7060.251239
MARICOPA,2013,2103.060714
MARICOPA,2014,4360.680064
MARICOPA,2015,14487.48325
MARICOPA,2016,3618.49921
MOHAVE,2006,13.98738682
MOHAVE,2007,5.939350144
MOHAVE,2008,4.0105
MOHAVE,2009,7.652112
MOHAVE,2010,5.9488
MOHAVE,2011,6.8444375
MOHAVE,2012,16.89125
MOHAVE,2013,28.7555625
MOHAVE,2014,142.2465625
MOHAVE,2015,68.96675
MOHAVE,2016,99.9915
NAVAJO,2008,41.6
NAVAJO,2013,0.825
NAVAJO,2014,13.5625
NAVAJO,2016,81.375
PIMA,2011,41.2675
PIMA,2012,81.3186875
PIMA,2013,101.991625
PIMA,2014,71.7970125
PIMA,2015,89.702941
PIMA,2016,100.11125
PINAL,1992,9222.00996
PINAL,1993,8694.386955
PINAL,1994,10854.87914
PINAL,1995,11457.60591
PINAL,1996,9299.923223
PINAL,1997,9540.835225
PINAL,1998,6604.780553
PINAL,1999,11210.81593
PINAL,2000,7935.864348
PINAL,2001,8255.236015
PINAL,2002,8834.912505
PINAL,2003,10392.38851
PINAL,2004,6263.719503
PINAL,2005,7597.66204
PINAL,2006,2138.804193
PINAL,2007,1306.26292
PINAL,2008,855.36814
PINAL,2009,493.5212
PINAL,2010,543.769275
PINAL,2011,474.6637689
PINAL,2012,2211.573407
PINAL,2013,1536.391443
PINAL,2014,4494.872909
PINAL,2015,14423.5441
PINAL,2016,8408.692171
SANTA CRUZ,2015,2.561786
YAVAPAI,2012,15.012775
YAVAPAI,2013,64.6459731
YAVAPAI,2014,29.3052375
YAVAPAI,2015,1401.600625
YAVAPAI,2016,563.651875
YUMA,1992,16063.02255
YUMA,1993,18306.45605
YUMA,1994,18162.72924
YUMA,1995,22843.4056
YUMA,1996,19837.71529
YUMA,1997,19446.07413
YUMA,1998,20769.95063
YUMA,1999,34391.42564
YUMA,2000,36174.09443
YUMA,2001,30557.23528
YUMA,2002,31827.98133
YUMA,2003,40572.51966
YUMA,2004,37499.78399
YUMA,2005,43005.20772
YUMA,2006,23830.80904
YUMA,2007,24335.2357
YUMA,2008,22686.57545
YUMA,2009,19274.68346
YUMA,2010,24111.24577
YUMA,2011,29987.7665
YUMA,2012,56037.42908
YUMA,2013,28453.84748
YUMA,2014,38417.40327
YUMA,2015,64343.64021
YUMA,2016,57498.58269
